Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
09-01-2020,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1600,Shuttl
13-01-2020,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,64.39,Mamaearth
09-01-2020,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,146.87,Fashor
02-01-2020,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding Round,14.4,Zomato
13-01-2020,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,72,Ecozen
10-01-2020,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1200,Cardekho
12-12-2019,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,48,Dhruva Space
06-12-2019,E-commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,560,Rivigo
03-12-2019,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed Funding Round,400,Healthians
13-12-2019,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd",Series F,160,Licious
17-12-2019,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,96,Incred
16-12-2019,E-commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,240,Trell
16-12-2019,Finance,Non-Banking Financial Company,Mumbai,Undefined,Debt Funding,47.2,Rein Games
14-12-2019,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Funding Round,16,Lenskart.Com
11-12-2019,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding Round,400,Freshworks
20-12-2019,E-commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1848,Misters
